% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ------------------
 99.43    2.123836         263      8048       861 futex
  0.21    0.004456           5       869           mmap
  0.16    0.003409           5       623           mprotect
  0.03    0.000715           4       173         4 openat
  0.03    0.000667           4       155           rt_sigprocmask
  0.02    0.000469           2       170           read
  0.02    0.000435           3       131           munmap
  0.02    0.000418          11        38           clone3
  0.02    0.000368           2       172           fstat
  0.02    0.000343           2       169           close
  0.01    0.000242           1       143           write
  0.01    0.000184           2        86           madvise
  0.01    0.000147           8        18           prctl
  0.01    0.000136           3        39           set_robust_list
  0.01    0.000135           3        39           rseq
  0.00    0.000074           3        21           brk
  0.00    0.000013           2         6           rt_sigaction
  0.00    0.000007           1         4         3 newfstatat
  0.00    0.000005           1         3         3 ioctl
  0.00    0.000005           1         4           pread64
  0.00    0.000004           2         2           fcntl
  0.00    0.000003           0         5           lseek
  0.00    0.000002           2         1           getrusage
  0.00    0.000002           2         1           arch_prctl
  0.00    0.000002           0         5           sched_getaffinity
  0.00    0.000002           2         1           set_tid_address
  0.00    0.000000           0         2         1 access
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         1           prlimit64
  0.00    0.000000           0         2           getrandom
------ ----------- ----------- --------- --------- ------------------
100.00    2.136079         195     10932       872 total
