% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ------------------
 63.00    0.003467           4       734           mmap
 12.08    0.000665           3       170         4 openat
  8.34    0.000459           2       168           read
  6.47    0.000356           2       173           fstat
  5.85    0.000322           1       166           close
  3.69    0.000203           1       164           mprotect
  0.20    0.000011           2         4         3 newfstatat
  0.09    0.000005           1         4           pread64
  0.05    0.000003           0        10           brk
  0.04    0.000002           1         2           rt_sigprocmask
  0.04    0.000002           2         1           arch_prctl
  0.04    0.000002           2         1           set_tid_address
  0.04    0.000002           2         1           set_robust_list
  0.04    0.000002           2         1           rseq
  0.02    0.000001           0         2           lseek
  0.02    0.000001           0         2           getrandom
  0.00    0.000000           0        53           write
  0.00    0.000000           0         4           munmap
  0.00    0.000000           0         2         2 ioctl
  0.00    0.000000           0         2         1 access
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         1           fcntl
  0.00    0.000000           0         5           futex
  0.00    0.000000           0         2           sched_getaffinity
  0.00    0.000000           0         1           prlimit64
------ ----------- ----------- --------- --------- ------------------
100.00    0.005503           3      1674        10 total
