% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- -----------------------
 73.93    0.362805         636       570        35 futex
 14.73    0.072282        4251        17           ppoll
  1.90    0.009325         621        15           poll
  1.69    0.008311        8311         1           clock_nanosleep
  1.35    0.006615           1      3368           mmap
  1.17    0.005730           2      2472      1390 access
  0.90    0.004423          58        76         4 ioctl
  0.64    0.003145           2      1290      1119 readlink
  0.60    0.002955           5       545           munmap
  0.53    0.002600           2      1275       116 openat
  0.50    0.002449           2      1066           mprotect
  0.34    0.001671           1      1166           close
  0.33    0.001640           1      1205           read
  0.24    0.001160           1      1101           fstat
  0.16    0.000794           4       189           rt_sigprocmask
  0.14    0.000696           1       582       342 statx
  0.12    0.000608          15        40           clone3
  0.12    0.000594           1       342         2 lseek
  0.11    0.000517          32        16           sched_setaffinity
  0.09    0.000451           3       138        19 newfstatat
  0.06    0.000295           3        93           madvise
  0.05    0.000252           6        41           rseq
  0.04    0.000183           4        41           set_robust_list
  0.03    0.000147           3        37           write
  0.03    0.000140           2        50           getdents64
  0.03    0.000128           8        16           prctl
  0.02    0.000112          18         6           setpriority
  0.02    0.000096           4        24        12 recvmsg
  0.01    0.000069           6        10           gettid
  0.01    0.000067           4        15           sendmsg
  0.01    0.000063          10         6           sched_setscheduler
  0.01    0.000059           1        49           getpid
  0.01    0.000058           1        52           brk
  0.01    0.000045          22         2           sysinfo
  0.01    0.000041          10         4           eventfd2
  0.01    0.000030           7         4           sendto
  0.01    0.000025          12         2           connect
  0.01    0.000025           2        10           fcntl
  0.00    0.000022          11         2           pipe2
  0.00    0.000019          19         1           uname
  0.00    0.000018           9         2           socket
  0.00    0.000014           1         9           geteuid
  0.00    0.000011           1         6           sched_getaffinity
  0.00    0.000008           2         4           dup
  0.00    0.000008           1         8           getuid
  0.00    0.000007           1         7           getgid
  0.00    0.000006           0         8           rt_sigaction
  0.00    0.000006           6         1           getsockname
  0.00    0.000006           0         7           getegid
  0.00    0.000005           5         1           getresuid
  0.00    0.000005           5         1           getresgid
  0.00    0.000004           4         1           sched_get_priority_max
  0.00    0.000002           2         1           sched_get_priority_min
  0.00    0.000002           0         3           getrandom
  0.00    0.000001           0         5           stat
  0.00    0.000000           0         4           pread64
  0.00    0.000000           0         1           sched_yield
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         1           arch_prctl
  0.00    0.000000           0         1           set_tid_address
  0.00    0.000000           0         1           prlimit64
------ ----------- ----------- --------- --------- -----------------------
100.00    0.490750          30     16012      3039 total
